Precision: 0.8136, Recall: 0.6680, F1 Score: 0.7336
Precision: 0.8760, Recall: 0.6587, F1 Score: 0.7520
Precision: 0.8611, Recall: 0.6163, F1 Score: 0.7184
Precision: 0.8365, Recall: 0.6091, F1 Score: 0.7049
Precision: 0.9391, Recall: 0.4286, F1 Score: 0.5886

Precision: 0.8356, Recall: 0.9500, F1 Score: 0.8891
Precision: 0.8379, Recall: 0.5957, F1 Score: 0.6963
Precision: 0.8873, Recall: 0.6659, F1 Score: 0.7608
Precision: 0.8968, Recall: 0.7935, F1 Score: 0.8420
Precision: 0.8277, Recall: 0.4273, F1 Score: 0.5637

Precision: 0.9981, Recall: 1.0000, F1 Score: 0.9990
Precision: 0.9807, Recall: 0.8808, F1 Score: 0.9281
Precision: 0.9576, Recall: 1.0000, F1 Score: 0.9784
Precision: 0.9836, Recall: 0.9231, F1 Score: 0.9524
Precision: 0.9808, Recall: 0.9808, F1 Score: 0.9808

Precision: 0.8972, Recall: 0.5101, F1 Score: 0.6504
Precision: 0.9428, Recall: 0.6976, F1 Score: 0.8019
Precision: 0.8742, Recall: 0.5605, F1 Score: 0.6830
Precision: 0.9650, Recall: 0.3891, F1 Score: 0.5546
Precision: 0.8814, Recall: 0.8672, F1 Score: 0.8742
