key	press_time	duration	accel_x	accel_y	accel_z
h	1733570714489	166	-0.56100005	4.97895	8.565001
u	1733570714323	116	-0.822	4.842	9.27105
d	1733570714207	626	-0.57795	4.81605	7.9189506
SP	1733570713581	1873	-0.171	4.78695	8.7949505
d	1733570711708	104	-0.22605	5.1460505	8.62695
l	1733570711604	168	-0.279	5.1439505	8.74005
r	1733570711436	177	0.00795	5.2830005	9.58695
o	1733570711259	121	0.26205	5.0070004	8.304001
w	1733570711138	793	-0.11595	5.19705	8.57505
SP	1733570710345	115	-0.21900001	5.24205	7.8919506
e	1733570710230	151	-0.22305001	5.2200003	7.9570503
r	1733570710079	138	-0.33795002	5.22795	9.183001
i	1733570709941	112	-0.23805001	5.2249503	8.698951
t	1733570709829	245	-0.19695	5.21595	8.677051
n	1733570709584	92	-0.14400001	4.9549503	8.326051
e	1733570709492	531	-0.26895002	4.9669504	8.598001
SP	1733570708961	129	-0.12795001	5.0479503	8.112
e	1733570708832	232	-0.50805	5.15805	8.479051
h	1733570708600	100	-0.75705004	4.9429502	8.191051
t	1733570708500	133	-0.37905002	5.328	8.67
SP	1733570708367	171	-0.27105	5.1529503	8.26305
n	1733570708196	178	-0.64995	5.01195	8.163
i	1733570708018	399	-0.82395005	5.00505	8.982
SP	1733570707619	338	-0.47205	4.99095	8.75595
s	1733570707281	96	-0.702	5.06505	8.30595
i	1733570707185	198	-0.71205	4.485	9.42405
DEL	1733570706987	150	0.039	5.0620503	8.566951
DEL	1733570706837	631	0.25005	4.90695	7.734
s	1733570706206	113	-0.36495003	4.6909504	7.97805
u	1733570706093	204	-1.7080501	4.6750503	10.81095
DEL	1733570705889	514	0.049050003	4.914	8.163
e	1733570705375	149	-0.36705002	4.88805	8.73495
s	1733570705226	233	-0.63000005	5.091	8.40705
e	1733570704993	183	-0.62595004	5.175	8.377951
h	1733570704810	133	-0.99705005	5.2200003	9.07005
t	1733570704677	150	-0.24000001	5.15805	7.5090003
SP	1733570704527	98	-0.85095006	5.3380504	8.641951
g	1733570704429	200	-0.35505003	5.1990004	8.613001
n	1733570704229	285	-0.59505004	4.8180003	9.151951
i	1733570703944	114	-0.79605	4.9279504	8.871
r	1733570703830	385	-0.31395	4.92105	8.67
e	1733570703445	253	-0.36900002	5.046	8.93595
e	1733570703192	144	-0.41700003	4.91895	8.491051
n	1733570703048	470	-0.55605	4.833	8.80395
i	1733570702578	95	-0.38895002	4.9159503	8.497951
g	1733570702483	249	-0.47205	4.8040504	8.6320505
n	1733570702234	155	-0.15195	4.66995	8.76795
e	1733570702079	444	-0.36	4.8570004	8.946
SP	1733570701635	275	-0.76905006	4.998	9.063001
t	1733570701360	70	-1.4970001	4.6600504	9.618
s	1733570701290	203	-1.2409501	4.91895	8.062051
e	1733570701087	88	-0.45795003	4.6870503	8.649
b	1733570700999	211	-1.07805	5.0340004	9.286051
SP	1733570700788	150	-0.13005	4.6750503	8.6970005
e	1733570700638	303	-0.21900001	4.76595	8.44995
DEL	1733570700335	149	-0.010050001	4.6909504	8.601001
DEL	1733570700186	149	0.003	4.6600504	8.160001
DEL	1733570700037	165	0.015000001	4.8520503	8.58405
DEL	1733570699872	599	0.00795	4.9500003	8.479051
e	1733570699273	114	-0.68595004	4.854	9.010051
b	1733570699159	515	-1.1740501	5.01	8.93805
e	1733570698644	66	-0.27105	4.84695	9.264001
SP	1733570698578	216	-0.67800003	4.89195	8.97
h	1733570698362	117	-1.212	4.617	9.199051
t	1733570698245	1469	-0.20205002	4.6600504	8.3539505
SP	1733570696776	76	-0.65205	4.7899504	8.61495
e	1733570696700	134	-0.25905	4.81605	8.46195
b	1733570696566	1434	-0.822	4.5550504	9.07695
SP	1733570695132	263	-0.11805001	4.78695	8.995951
o	1733570694869	85	0.058050003	4.4830503	8.674951
t	1733570694784	683	0.14205001	5.01	7.7460003
SP	1733570694101	211	-0.42900002	4.9090505	8.89305
