key	press_time	duration	accel_x	accel_y	accel_z
u	1733592684562	2233	-1.9914266	4.132405	9.866206
s	1733592682329	499	0.09840483	4.017549	9.495318
a	1733592681830	439	-0.5778667	3.810271	9.272487
z	1733592681391	276	-0.70229346	4.1347976	9.2126665
c	1733592681115	581	-2.1053848	3.7636108	9.240184
SP	1733592680534	533	-0.91435736	2.8660033	9.266505
ś	1733592680001	1631	0.1055833	3.521936	9.322736
o	1733592678370	420	-0.9514461	4.1180477	10.075877
g	1733592677950	1838	1.43689	4.2077785	9.479765
e	1733592676112	395	-0.14207384	4.3070807	9.362218
i	1733592675717	295	-1.3450655	3.592524	9.449855
k	1733592675422	244	-1.0124631	3.3951163	8.599805
a	1733592675178	317	-0.506082	3.8617167	9.154042
j	1733592674861	540	-1.7198412	3.2763724	8.894421
SP	1733592674321	407	-2.3231318	3.6487553	10.072288
d	1733592673914	1676	-3.7441692	4.071388	9.179167
DEL	1733592672238	1557	-1.2122638	2.547459	9.862617
o	1733592670681	231	-1.1668001	2.8695927	8.862118
O	1733592670450	3482	-0.7286145	2.6240292	8.254939
SP	1733592666968	482	-1.8478572	3.7516468	10.290034
.	1733592666486	1246	-1.1404791	3.065804	9.460623
e	1733592665240	480	0.590429	3.8593237	9.238987
i	1733592664760	270	-2.0431714	3.1028929	10.607383
n	1733592664490	457	-0.89730847	3.2069805	9.174381
k	1733592664033	375	-1.7700906	2.7975087	10.435997
i	1733592663658	285	-2.2477577	3.0610185	10.563115
n	1733592663373	792	-0.9406784	3.1292138	8.841779
y	1733592662581	423	-2.318346	3.7743785	10.424033
w	1733592662158	616	0.0529412	4.214957	8.63809
SP	1733592661542	508	-0.654437	3.0000014	9.457033
o	1733592661034	265	-0.22941187	4.034299	9.155238
v	1733592660769	532	0.59760743	3.9370906	9.457033
e	1733592660237	428	0.4648058	4.5837507	8.215458
t	1733592659809	1496	-1.8634106	4.322634	8.346166
SP	1733592658313	302	-1.4491532	3.9107695	9.974182
z	1733592658011	598	0.20608185	3.9335012	9.22822
SP	1733592657413	868	-0.9514461	3.4597225	8.969795
o	1733592656545	369	-0.64606214	3.242873	9.045169
c	1733592656176	1828	0.9340981	3.9107695	9.138489
SP	1733592654348	427	-1.0423734	3.5147574	10.540383
a	1733592653921	353	-0.7429714	3.275176	8.658429
i	1733592653568	378	-1.0232308	3.4130623	8.647661
c	1733592653190	830	1.2116655	3.6451662	9.514461
ę	1733592652360	1937	0.03499503	3.757629	9.262916
j	1733592650423	449	-1.154836	3.2213376	8.690732
DEL	1733592649974	921	-0.526421	2.6228328	9.284451
k	1733592649053	602	-1.3354942	2.6515465	9.017652
o	1733592648451	229	-1.122533	3.3038898	8.854939
p	1733592648222	878	-1.1368898	3.1555347	10.127323
SP	1733592647344	376	-1.1883355	3.6978083	10.176375
m	1733592646968	428	-0.55393845	3.4489548	9.427123
a	1733592646540	287	-0.35294133	3.5949168	9.520443
m	1733592646253	694	-0.6939186	3.281158	9.41157
SP	1733592645559	972	-1.8538394	3.8545382	10.673185
e	1733592644587	529	0.5736792	4.3357944	8.585447
i	1733592644058	402	-1.4647065	3.2416766	8.398808
N	1733592643656	1916	-0.72023964	3.4381871	8.377272
SP	1733592641740	386	-1.6444674	3.9577286	10.262517
.	1733592641354	1197	-1.3833506	3.973282	10.815558
a	1733592640157	278	-0.1372882	4.3202415	8.99133
i	1733592639879	336	-2.074278	3.8521454	9.956236
n	1733592639543	451	-0.9729815	3.917948	8.319844
a	1733592639092	317	-1.0567303	4.341777	8.415557
s	1733592638775	487	-2.7338	4.7368917	8.813962
i	1733592638288	292	-1.221835	3.403491	8.1891365
p	1733592637996	365	-0.73579293	3.8712878	9.331111
w	1733592637631	3011	0.5712864	4.202993	8.571091
SP	1733592634620	393	-1.2744771	4.104887	10.343873
o	1733592634227	313	0.062512495	3.9287157	7.6624165
d	1733592633914	1772	0.7196414	4.2006	8.91476
SP	1733592632142	460	-0.5479564	3.4657044	8.548359
w	1733592631682	1696	0.18095721	4.208975	9.012866
ó	1733592629986	2233	-0.9514461	3.8090746	9.087043
o	1733592627753	1696	-1.1787642	4.0390844	9.67478
k	1733592626057	373	-1.0962119	3.5075788	9.808778
a	1733592625684	810	-0.06909275	3.62722	8.9566345
n	1733592624874	674	-0.44626144	3.3290145	8.8956175
z	1733592624200	1495	-0.11096715	3.897609	9.777672
SP	1733592622705	372	-0.721436	3.641577	9.368199
ę	1733592622333	1458	0.32961133	3.9804604	8.763713
s	1733592620875	349	0.34037903	3.836592	8.137691
a	1733592620526	249	-0.58504516	3.67388	9.302397
m	1733592620277	443	-1.0196415	3.185445	9.242577
SP	1733592619834	701	-1.0435698	3.1375887	7.75125
o	1733592619133	558	-1.4276178	3.6559339	10.012467
ł	1733592618575	1337	-1.0914263	4.031906	9.946365
a	1733592617238	437	-1.000499	3.4824543	9.437891
t	1733592616801	453	-1.8753748	3.905984	8.273184
s	1733592616348	615	-1.3091731	4.3525443	9.121739
o	1733592615733	234	-1.4443675	3.6894333	10.039985
z	1733592615499	500	-0.41156548	3.7432718	8.986545
o	1733592614999	225	-0.7920243	3.3732817	9.51805
p	1733592614774	1067	-1.1249257	3.649952	10.900503
SP	1733592613707	407	-0.81834537	3.289533	9.526425
ż	1733592613300	1680	-0.23659034	3.661916	9.231809
ą	1733592611620	1738	-0.47856453	3.6750765	9.378967
i	1733592609882	268	-1.9100707	3.7600217	10.291231
c	1733592609614	816	1.00349	3.7037904	8.918349
w	1733592608798	1330	0.37627137	3.9167516	8.748159
SP	1733592607468	426	-1.0842477	3.828217	9.780065
i	1733592607042	473	-1.8514465	3.850949	10.546366
SP	1733592606569	389	-0.40797627	3.531507	8.73141
e	1733592606180	475	0.12352947	4.121637	9.188738
i	1733592605705	358	-1.3917254	3.2392836	9.242577
b	1733592605347	609	-1.3271192	3.6571302	8.745767
o	1733592604738	392	-0.5946164	3.3999019	8.488539
s	1733592604346	471	-0.16959131	3.991228	9.331111
SP	1733592603875	753	-1.7018951	3.716951	10.966306
ę	1733592603122	1188	-3.7334015	4.55743	8.410771
z	1733592601934	277	-1.9686948	3.8150566	9.259326
s	1733592601657	635	-3.4710884	4.482953	9.278469
i	1733592601022	378	-2.0285153	3.609274	8.288737
P	1733592600644	2483	-0.52163535	3.0466614	8.923135
SP	1733592598161	509	-1.4563317	3.2045877	10.251749
.	1733592597652	623	-1.2397813	3.161517	10.13809
