key	press_time	duration	accel_x	accel_y	accel_z
SP	1733580134474	469	-0.17205001	9.65295	2.39205
DEL	1733580134005	3220	-0.72300005	9.72	2.505
SP	1733580130785	222	0.69900006	9.86295	2.31795
.	1733580130563	920	0.72495	9.550051	2.4859502
y	1733580129643	314	0.162	9.54705	3.1279502
m	1733580129329	504	0.58605003	9.21	3.7170002
a	1733580128825	286	0.31305	9.51105	2.4520502
k	1733580128539	541	0.25605002	9.471001	2.7640502
t	1733580127998	415	0.16005	9.65505	2.77095
o	1733580127583	223	0.40695003	9.411	2.77605
p	1733580127360	483	0.31095	9.51105	2.77095
s	1733580126877	247	0.35595003	9.550051	2.7589502
SP	1733580126630	313	0.28395	9.562051	2.3800502
e	1733580126317	336	-0.061950002	9.559051	2.4190502
i	1733580125981	370	0.49995002	9.55395	2.5740001
s	1733580125611	258	0.49305	9.54705	3.1200001
v	1733580125353	290	0.59295005	9.633	2.63205
y	1733580125063	292	0.47100002	9.61695	2.90505
c	1733580124771	493	0.47805002	9.61905	2.60295
s	1733580124278	244	0.261	9.624001	2.6100001
y	1733580124034	360	0.040050004	9.612	2.874
z	1733580123674	257	0.51000005	9.612	2.62905
s	1733580123417	303	0.22200002	9.612	2.62905
w	1733580123114	1489	0.19800001	9.715051	2.6460001
SP	1733580121625	471	0.37800002	9.657001	2.4880502
e	1733580121154	302	-0.23205002	9.84195	2.49495
i	1733580120852	246	0.40695003	9.58605	2.50305
m	1733580120606	448	0.51000005	9.59805	3.08205
e	1733580120158	247	-0.23895001	9.889951	2.4520502
z	1733580119911	212	0.39495003	9.556951	2.1340501
d	1733580119699	547	0.16005	9.901951	2.49105
DEL	1733580119152	1178	0.51900005	9.727051	2.5189502
s	1733580117974	415	-0.016050002	9.58605	2.8549502
o	1733580117559	514	0.177	9.304951	3.4650002
r	1733580117045	414	-0.141	9.637951	2.6200502
a	1733580116631	315	0.112050004	9.636001	2.3800502
N	1733580116316	2563	0.52395004	9.34095	3.0169501
DEL	1733580113753	572	0.47400004	9.53295	2.6580002
M	1733580113181	861	0.54105	9.51795	3.1300502
SP	1733580112320	315	0.15	9.53295	2.019
e	1733580112005	325	-0.07095	9.621	2.3490002
z	1733580111680	894	0.30795002	9.612	2.184
o	1733580110786	348	0.27705002	9.61905	2.46
B	1733580110438	1236	0.28905	9.624001	2.4550502
x	1733580109202	304	0.24405001	9.564	2.57205
a	1733580108898	347	-0.0019500001	9.877951	1.9660501
n	1733580108551	212	0.70095	9.280951	2.5530002
SP	1733580108339	336	0.28695002	9.62895	2.3160002
u	1733580108003	369	0.07095	9.645	2.9170501
k	1733580107634	606	0.32505003	9.63105	2.907
o	1733580107028	660	0.363	9.33195	2.74005
r	1733580106368	830	0.261	9.56595	2.562
SP	1733580105538	336	-0.034950003	9.526051	2.637
m	1733580105202	392	-0.29205	9.504001	2.8860002
y	1733580104810	649	0.18405001	9.837001	2.4499502
t	1733580104161	414	0.342	9.601951	2.4379501
SP	1733580103747	2916	0.51405	9.595051	2.1649501
DEL	1733580100831	213	0.42600003	9.80595	2.13105
DEL	1733580100618	213	0.52905005	9.669001	2.148
DEL	1733580100405	997	0.27495003	9.66195	2.97195
Y	1733580099408	235	0.040050004	9.562051	2.6179502
T	1733580099173	436	0.27495003	9.559051	2.8639503
C	1733580098737	402	0.23400001	9.562051	2.60295
W	1733580098335	5479	0.73005	9.460951	2.1409502
SP	1733580092856	258	-0.23205002	9.58605	2.6179502
.	1733580092598	7178	-0.44700003	9.58605	2.6179502
e	1733580085420	301	-0.59595	9.898951	2.457
n	1733580085119	270	0.282	9.360001	2.7130501
b	1733580084849	336	-0.109950006	9.71205	2.4520502
o	1733580084513	314	-0.13395001	9.72	2.4480002
d	1733580084199	951	-0.15	9.717	2.4499502
o	1733580083248	1397	0.45000002	9.708	2.436
p	1733580081851	1179	0.19095	9.708	2.436
SP	1733580080672	1389	0.47100002	9.715051	2.56005
SP	1733580079283	368	0.00405	9.67395	2.56695
u	1733580078915	259	-0.22905001	9.732	2.8230002
m	1733580078656	986	0.081	9.4800005	2.89995
e	1733580077670	1164	-0.07095	9.693001	2.8590002
t	1733580076506	390	0.04695	9.705001	2.5099502
SP	1733580076116	314	0.27	9.451051	2.5240502
i	1733580075802	348	0.16005	9.504001	2.52705
SP	1733580075454	371	0.35595003	9.729	2.63895
e	1733580075083	368	-0.19305001	9.813001	2.73
n	1733580074715	472	0.45000002	9.48495	3.04605
z	1733580074243	167	0.177	9.83205	2.352
c	1733580074076	345	-0.13095	9.71205	2.352
e	1733580073731	237	-0.21705002	9.922951	2.3779502
t	1733580073494	380	0.10695001	9.47805	2.39205
a	1733580073114	335	-0.117000006	9.736051	2.74005
i	1733580072779	741	0.22200002	9.430051	2.838
w	1733580072038	336	-0.47400004	9.7560005	2.7439501
s	1733580071702	336	-0.022950001	9.507001	2.7540002
SP	1733580071366	347	0.38700002	9.468	2.7439501
a	1733580071019	348	-0.282	9.5449505	2.9190001
i	1733580070671	235	-0.102000006	9.258	2.9479501
n	1733580070436	415	-0.022950001	9.559051	2.9580002
e	1733580070021	336	-0.23400001	9.53505	2.67
z	1733580069685	246	0.14805001	9.540001	2.39205
c	1733580069439	302	0.26295	9.49005	2.39505
y	1733580069137	446	-0.15495001	9.576	2.77095
z	1733580068691	686	0.14805001	9.5779505	2.49495
SP	1733580068005	447	0.38505003	9.583051	2.7490501
y	1733580067558	312	-0.016050002	9.64305	3.0270002
m	1733580067246	449	0.48105	9.396001	3.0889502
a	1733580066797	324	-0.25995	9.691051	2.7829502
l	1733580066473	371	0.73695004	9.18795	3.0990002
y	1733580066102	403	-0.105000004	9.589951	2.7829502
s	1733580065699	224	0.097950004	9.592951	3.2640002
e	1733580065475	269	-0.124050006	9.66705	2.5890002
z	1733580065206	268	0.38295	9.34395	2.5890002
r	1733580064938	391	0.009000001	9.552	3.27795
p	1733580064547	2671	1.0030501	9.217051	3.051
SP	1733580061876	280	0.04695	9.55395	2.4520502
,	1733580061596	727	0.165	9.62895	2.7589502
DEL	1733580060869	561	0.37095	9.64305	2.4810002
DEL	1733580060308	1594	0.69405	9.64095	2.46
SP	1733580058714	235	0.38505003	9.64095	2.9839501
.	1733580058479	1695	0.27705002	9.64305	3.00495
w	1733580056784	537	-0.0139500005	9.741	2.328
o	1733580056247	351	0.37800002	9.67395	2.36595
d	1733580055896	253	0.33705002	9.669001	2.4
z	1733580055643	402	0.35895002	9.748051	2.0760002
a	1733580055241	302	-0.040050004	9.8230505	2.3830502
j	1733580054939	386	0.57195	9.427951	2.115
y	1733580054553	1039	0.64395005	9.880051	2.05695
w	1733580053514	404	0.061950002	9.681001	2.22195
SP	1733580053110	286	0.24900001	9.657001	2.25105
z	1733580052824	738	0.19800001	9.813001	2.5500002
SP	1733580052086	519	0.85200006	9.5140505	2.49495
DEL	1733580051567	252	1.01205	9.526051	2.5069501
DEL	1733580051315	218	1.0530001	9.51105	2.49795
DEL	1733580051097	974	0.924	9.625951	2.7900002
SP	1733580050123	269	0.25095	9.67695	2.39205
z	1733580049854	251	0.342	9.715051	2.66805
c	1733580049603	319	0.079050004	9.460951	2.3710501
a	1733580049284	357	-0.29595003	9.72	2.5099502
i	1733580048927	292	0.363	9.475051	2.53905
n	1733580048635	504	0.20805001	9.48495	2.59395
w	1733580048131	298	-0.20505	9.72	2.31795
i	1733580047833	542	0.124050006	9.70995	2.6130002
w	1733580047291	378	-0.38505003	9.70995	2.4120002
o	1733580046913	501	0.033	9.703051	2.2390501
r	1733580046412	290	0.22005	9.71205	2.36595
d	1733580046122	292	0.03795	9.70995	2.3470502
z	1733580045830	470	0.28905	9.70995	2.4120002
i	1733580045360	145	0.19800001	9.69795	2.187
p	1733580045215	404	0.36600003	9.53295	2.5150502
SP	1733580044811	302	-0.01905	9.51795	2.42595
