key	press_time	duration	accel_x	accel_y	accel_z
SP	1733578530721	673	-1.13205	8.937	4.53795
ą	1733578530048	1266	-1.14405	8.938951	4.5349503
k	1733578528782	445	-1.194	8.985001	4.2649503
y	1733578528337	216	-1.1370001	8.994	3.9460502
t	1733578528121	191	-1.3590001	8.994	3.96795
e	1733578527930	178	-1.4650501	9.0060005	3.657
t	1733578527752	425	-1.029	9.19305	3.9630003
o	1733578527327	89	-1.4460001	8.962951	3.9460502
r	1733578527238	189	-1.4100001	8.949	3.9610503
p	1733578527049	293	-1.4959501	8.70705	4.959
SP	1733578526756	169	-1.335	8.52	4.8630004
o	1733578526587	191	-1.5870001	8.52	4.938
b	1733578526396	234	-1.52205	8.743051	4.677
l	1733578526162	146	-1.5130501	8.72805	4.66695
a	1733578526016	112	-1.60395	8.436001	5.2110004
SP	1733578525904	257	-1.5769501	8.44095	5.3040004
i	1733578525647	537	-1.47405	8.865001	4.71
DEL	1733578525110	157	-1.5409501	8.427	4.9690504
DEL	1733578524953	134	-1.27995	8.436001	4.959
DEL	1733578524819	190	-1.245	8.4199505	4.95195
DEL	1733578524629	348	-1.55595	8.427	4.9690504
l	1733578524281	90	-1.52505	8.4199505	4.95195
a	1733578524191	256	-1.6110001	8.733001	4.9740005
SP	1733578523935	192	-1.4460001	8.46	4.62195
u	1733578523743	180	-1.44105	8.800051	4.63605
m	1733578523563	154	-1.3740001	8.77095	4.248
a	1733578523409	180	-1.18005	8.944051	4.77495
z	1733578523229	234	-1.245	8.965051	4.77705
c	1733578522995	137	-1.52505	8.56995	4.70295
e	1733578522858	155	-1.2589501	8.82405	4.7389503
z	1733578522703	987	-1.4620501	8.82405	4.4950504
r	1733578521716	503	-1.4959501	9.115951	4.1470504
SP	1733578521213	191	-1.47405	8.566051	4.8229504
i	1733578521022	179	-1.74705	8.853001	4.54995
m	1733578520843	201	-1.74705	8.83605	4.2910504
y	1733578520642	471	-1.5820501	8.986951	3.9889503
n	1733578520171	78	-1.71105	8.74005	4.248
z	1733578520093	190	-1.7190001	8.733001	4.25505
c	1733578519903	245	-1.4500501	8.736	4.533
y	1733578519658	315	-1.45305	8.997001	4.25505
t	1733578519343	270	-1.7040001	8.982	4.0729504
e	1733578519073	122	-1.4070001	8.647051	4.3170004
m	1733578518951	314	-1.644	8.89395	4.3099504
s	1733578518637	203	-1.2229501	8.82405	4.69605
o	1733578518434	179	-1.23	8.82705	4.3050003
k	1733578518255	1769	-1.25205	8.86005	4.87995
SP	1733578516486	212	-1.4650501	8.479051	4.8780003
z	1733578516274	203	-1.3450501	8.484	4.87305
SP	1733578516071	189	-1.40505	8.475	5.076
o	1733578515882	190	-1.6609501	8.470051	4.722
g	1733578515692	236	-1.4599501	8.644951	4.24095
e	1733578515456	123	-1.56105	8.57295	4.49895
n	1733578515333	308	-1.4820001	8.82705	4.485
DEL	1733578515025	734	-1.503	8.829	4.50705
a	1733578514291	199	-1.25205	8.809951	4.5019503
z	1733578514092	293	-1.1370001	8.812051	4.49895
a	1733578513799	123	-1.5079501	8.886001	4.75605
i	1733578513676	157	-1.503	8.604	4.7509503
w	1733578513519	224	-1.51005	8.596951	4.7580004
z	1733578513295	1142	-1.23	8.596951	4.7580004
SP	1733578512153	146	-1.6710001	8.608951	4.854
s	1733578512007	133	-1.4100001	8.592	4.7839503
o	1733578511874	224	-1.7689501	8.613001	4.78695
c	1733578511650	248	-1.7209501	8.608951	4.78695
SP	1733578511402	300	-1.67505	8.604	4.7580004
c	1733578511102	316	-1.4239501	8.86695	4.2910504
i	1733578510786	626	-1.4070001	8.86995	4.56405
DEL	1733578510160	179	-1.4119501	8.53005	5.0479503
DEL	1733578509981	180	-1.5649501	8.52705	5.0500503
DEL	1733578509801	581	-1.5679501	8.28495	5.05305
SP	1733578509220	180	-1.575	8.27805	4.9450502
c	1733578509040	180	-1.8190501	8.39295	4.638
u	1733578508860	178	-1.7190001	8.412001	4.9159503
b	1733578508682	214	-1.7209501	8.434051	5.01195
o	1733578508468	100	-1.67505	8.436001	4.72905
r	1733578508368	325	-1.6900501	8.4199505	4.722
DEL	1733578508043	425	-1.6129501	8.44095	4.7239504
z	1733578507618	963	-1.6180501	8.4199505	4.9950004
SP	1733578506655	147	-1.6200001	8.44095	4.99695
s	1733578506508	135	-1.6200001	8.41695	4.42995
y	1733578506373	245	-1.36695	8.68995	4.70295
DEL	1733578506128	157	-2.0629501	8.39295	5.4210005
DEL	1733578505971	381	-1.644	8.391001	5.10795
s	1733578505590	155	-1.6609501	8.403001	4.638
u	1733578505435	226	-1.6680001	8.68305	4.62195
d	1733578505209	358	-1.5649501	8.677951	4.6260004
e	1733578504851	425	-1.7569501	8.44095	4.9180503
DEL	1733578504426	179	-1.7740501	8.448	4.9350004
DEL	1733578504247	351	-1.4670001	8.436001	4.9230003
DEL	1733578503896	51	-1.434	8.451	4.93305
