key	press_time	duration	accel_x	accel_y	accel_z
.	1733596464831	1970	-1.194	7.4209504	6.6570005
a	1733596462861	224	-2.703	7.1650505	6.3619504
r	1733596462637	403	-3.0550501	7.4280005	6.1320004
o	1733596462234	1087	-1.371	7.3230004	6.681
i	1733596461147	246	-1.74705	6.67395	6.6900005
p	1733596460901	393	-1.60395	6.681	6.6829505
SP	1733596460508	558	-1.7329501	6.7240505	6.867
o	1733596459950	595	-2.2789502	7.6579504	6.4290004
g	1733596459355	358	-2.8609502	7.2850504	6.4410005
e	1733596458997	313	-3.0880501	7.28205	6.16305
i	1733596458684	213	-2.05605	6.95205	6.73995
k	1733596458471	180	-2.3719501	7.1530504	6.7549505
k	1733596458291	369	-1.7830501	7.392	6.4819503
e	1733596457922	324	-2.90895	7.3710003	6.1200004
l	1733596457598	995	-1.113	7.3300505	6.69495
SP	1733596456603	1044	-1.60395	7.0690503	6.6930003
i	1733596455559	158	-2.5879502	6.9330006	6.405
j	1733596455401	279	-1.8859501	6.846	6.7930503
c	1733596455122	299	-2.229	6.6880503	7.0999503
o	1733596454823	216	-1.89795	6.696	6.81195
m	1733596454607	258	-1.28805	6.8539505	7.2289505
o	1733596454349	256	-2.16405	6.8490005	6.7050004
r	1733596454093	359	-2.631	7.1190004	6.43905
p	1733596453734	516	-1.58895	6.86595	6.9270005
SP	1733596453218	369	-1.2760501	7.0519505	6.9079504
a	1733596452849	312	-2.9179502	7.0639505	6.36705
n	1733596452537	204	-1.4770501	6.9330006	6.7720504
SP	1733596452333	425	-1.67505	6.76695	7.0999503
o	1733596451908	337	-1.3590001	7.0399504	6.8050504
w	1733596451571	366	-2.9179502	7.2850504	6.54195
o	1733596451205	171	-1.7689501	7.0309505	6.53205
k	1733596451034	357	-1.812	6.9690003	6.8050504
t	1733596450677	504	-2.18805	7.0690503	6.7000504
a	1733596450173	225	-2.6479502	7.3639503	6.28305
d	1733596449948	290	-2.013	6.9610505	6.3019505
o	1733596449658	301	-1.608	6.94005	6.9490504
d	1733596449357	2095	-1.89795	7.1530504	6.3739505
SP	1733596447262	651	-1.1890501	6.918	6.8869505
m	1733596446611	255	-1.8769501	6.86805	6.8890505
y	1733596446356	159	-2.56605	6.8230505	6.7930503
t	1733596446197	280	-2.56905	6.9330006	6.5130005
SP	1733596445917	336	-1.5439501	6.8440504	6.7960505
y	1733596445581	245	-1.9480501	7.1269503	6.525
z	1733596445336	200	-2.2789502	7.2850504	6.5989504
r	1733596445136	382	-2.2720501	7.1670003	6.58995
p	1733596444754	753	-1.62495	7.1119504	6.597
SP	1733596444001	794	-1.338	7.1530504	6.60405
c	1733596443207	392	-2.6209502	7.0360503	6.3499503
a	1733596442815	303	-2.8150501	7.2580504	6.3430505
j	1733596442512	334	-1.4620501	7.00395	6.7210503
