key	press_time	duration	accel_x	accel_y	accel_z
r	1733579243959	693	0.32805002	8.86005	4.7509503
SP	1733579243266	348	0.052050002	8.937	4.39395
y	1733579242918	324	-0.21000001	8.818951	4.701
m	1733579242594	460	-0.109950006	8.779051	4.6930504
s	1733579242134	347	-0.13095	8.90295	4.7130003
i	1733579241787	246	-0.29595003	8.632951	4.69605
l	1733579241541	392	0.62895006	8.661	4.71495
a	1733579241149	236	-0.76995003	9.052051	4.722
z	1733579240913	235	-0.08595	8.6640005	4.72695
d	1733579240678	303	-0.43995002	8.61795	4.8040504
e	1733579240375	435	-0.42600003	8.886001	4.39605
p	1733579239940	371	-0.081	8.56095	4.7580004
s	1733579239569	246	-0.38700002	9.01305	4.7130003
SP	1733579239323	330	-0.14595	8.75205	4.35795
a	1733579238993	302	-0.56895	8.89095	4.65
t	1733579238691	426	-0.39705002	8.994	4.3770003
e	1733579238265	346	0.53805	8.743051	4.6860003
i	1733579237919	381	0.46395	8.57505	4.7580004
w	1733579237538	214	0.26295	8.644951	4.49895
s	1733579237324	1153	0.34905002	8.628	4.49205
SP	1733579236171	649	0.28905	8.75205	4.76805
,	1733579235522	684	-0.36795002	8.757	4.7719502
e	1733579234838	336	-0.60495	8.908051	4.104
j	1733579234502	336	1.2229501	8.39295	4.75995
c	1733579234166	515	0.201	8.568001	6.0270004
a	1733579233651	1175	0.012	8.700001	4.49205
k	1733579232476	897	0.507	8.580001	4.80105
a	1733579231579	369	-0.29205	8.521951	5.256
w	1733579231210	538	-0.77805007	8.427	5.256
SP	1733579230672	346	-0.54300004	8.72805	4.8250504
e	1733579230326	524	-1.0510501	8.77095	4.74405
DEL	1733579229802	1011	0.73905003	8.167951	6.0199504
w	1733579228791	357	-0.97200006	8.476951	5.24595
i	1733579228434	203	-0.282	8.283	5.2489505
k	1733579228231	448	0.24105	8.182051	5.51205
t	1733579227783	369	-0.79905003	8.60595	5.12895
s	1733579227414	280	-0.18900001	8.580001	5.1319504
y	1733579227134	358	-0.864	8.56305	5.124
z	1733579226776	247	-0.63405	8.566051	5.0599504
s	1733579226529	281	-0.77505004	8.688001	4.7410502
W	1733579226248	1925	-1.2919501	8.688001	5.0790005
SP	1733579224323	246	0.19095	8.604	5.3899503
.	1733579224077	953	0.282	8.26605	5.3710504
a	1733579223124	324	-0.92100006	8.724	4.8300004
n	1733579222800	415	0.23205002	8.379001	5.40705
t	1733579222385	335	-0.43995002	8.652	4.9300504
o	1733579222050	303	0.126	8.644951	4.938
m	1733579221747	493	0.112050004	8.644951	5.2320004
a	1733579221254	201	-1.3090501	9.18795	4.71495
s	1733579221053	347	0.01905	8.6970005	4.71495
SP	1733579220706	348	-0.69900006	8.986951	4.392
e	1733579220358	392	-0.39705002	8.91495	4.71495
i	1733579219966	660	-0.11400001	8.677951	4.7130003
s	1733579219306	1702	-0.27	8.641951	4.9759502
SP	1733579217604	904	-0.67005	8.877001	4.95195
m	1733579216700	462	-0.837	8.641951	4.6740003
a	1733579216238	369	-1.3470001	8.793	4.854
l	1733579215869	337	-0.77505004	8.463	4.9020004
u	1733579215532	481	-0.81405	8.53905	5.02395
z	1733579215051	190	-0.22005	8.53005	5.0329504
c	1733579214861	212	-0.648	8.271001	5.36595
SP	1733579214649	361	-0.90705	8.54205	4.9450502
w	1733579214288	378	-0.88995004	8.367001	5.21505
i	1733579213910	293	0.30600002	8.106	5.21295
n	1733579213617	347	-0.16905001	8.403001	5.2270503
SP	1733579213270	213	-0.24405001	8.400001	5.6389503
m	1733579213057	323	-0.47595003	8.40495	5.3830504
i	1733579212734	282	-0.72300005	8.41005	5.37795
n	1733579212452	370	-0.034950003	8.40795	5.3809505
SP	1733579212082	335	-0.36600003	8.415	5.0790005
i	1733579211747	224	-0.96405005	8.60595	5.0790005
k	1733579211523	438	-0.65595	8.616	5.0929503
e	1733579211085	324	-0.92805004	8.69205	4.78695
i	1733579210761	381	-0.093	8.391001	5.0290504
z	1733579210380	200	-0.51900005	8.38095	5.03805
D	1733579210180	976	-0.50205004	8.57505	5.03595
SP	1733579209204	235	0.16695	8.434051	5.5860004
.	1733579208969	436	-0.37500003	8.427	5.47905
m	1733579208533	594	-0.14595	8.4199505	5.7850504
a	1733579207939	369	-0.57195	8.41005	5.4
l	1733579207570	403	0.52095	8.269051	5.3970003
a	1733579207167	360	-0.411	8.767051	4.8349504
i	1733579206807	268	0.36795002	8.211	5.2699504
m	1733579206539	380	0.43500003	8.475	4.83195
SP	1733579206159	348	-1.7400001	9.1380005	5.2390504
e	1733579205811	390	-1.09395	8.83605	4.9090505
i	1733579205421	270	0.01905	8.779051	4.5349503
n	1733579205151	1009	0.55995005	8.311951	5.1220503
SP	1733579204142	672	0.38295	8.71395	4.17105
o	1733579203470	380	-0.31800002	8.533951	5.03595
g	1733579203090	615	-0.81405	8.53905	5.34
e	1733579202475	136	-0.62700003	8.632951	4.93305
r	1733579202339	412	-0.25305	8.64	4.9500003
o	1733579201927	528	-0.59805006	8.35005	5.27505
t	1733579201399	368	-0.351	8.38395	4.9420505
k	1733579201031	326	-0.47595003	8.299951	4.9300504
SP	1733579200705	225	-0.33900002	8.39295	5.19105
,	1733579200480	426	-0.957	8.35995	5.4810004
m	1733579200054	537	-0.16005	8.37405	5.49795
e	1733579199517	223	-0.48795003	8.45505	5.043
w	1733579199294	392	-0.63405	8.71905	4.98495
