key	press_time	duration	accel_x	accel_y	accel_z
EPH	1733395851925	0	0.51802224	3.4524834	9.773553
NL	1733395840230	638	1.2654115	3.2033536	9.596287
a	1733395839592	58	0.3982483	3.1841898	9.423813
n	1733395839534	297	0.8342254	3.1362803	9.380694
o	1733395839237	182	0.7240334	3.059625	10.013101
z	1733395839055	186	0.5898866	3.1889808	8.963881
c	1733395838869	422	0.52760416	2.9111054	9.869371
è	1733395838447	595	1.0737733	3.1937718	9.926863
m	1733395837852	157	0.661751	3.059625	9.845417
z	1733395837695	327	1.2893664	3.145862	8.604559
SP	1733395837368	280	0.96358126	3.7064042	9.390276
m	1733395837088	226	0.8677621	3.6584947	9.639405
e	1733395836862	211	0.40303928	4.2046638	8.829734
t	1733395836651	4512	-0.056892615	4.415466	9.256129
DEL	1733395832139	1914	0.77673393	3.7782686	9.457349
DEL	1733395830225	184	1.0498185	3.9986525	9.572332
DEL	1733395830041	526	1.0258636	4.1375904	9.682525
m	1733395829515	223	0.3647116	3.955534	9.591496
e	1733395829292	214	-0.7611633	4.4346294	7.373283
y	1733395829078	220	-0.042519744	3.8118052	9.586705
s	1733395828858	331	-1.024666	4.3340197	8.235655
e	1733395828527	1176	0.7431972	4.171127	10.592806
j	1733395827351	847	1.1839653	3.6824493	9.596287
SP	1733395826504	296	2.8224726	2.6523936	8.930344
.	1733395826208	1042	2.5781338	2.5374107	8.633305
m	1733395825166	153	1.1887562	3.6345398	9.126773
a	1733395825013	121	1.0354456	3.3375006	9.136355
ł	1733395824892	482	1.0162817	3.3327096	9.270502
a	1733395824410	150	0.70966053	3.4476924	9.098027
i	1733395824260	226	1.1839653	3.2225175	10.084965
n	1733395824034	1185	1.4474679	3.1362803	10.017891
n	1733395822849	216	1.097728	3.0787888	9.735225
m	1733395822633	303	1.0546094	3.1171165	9.581914
o	1733395822330	189	1.0737733	3.1171165	9.486095
p	1733395822141	171	1.2606206	3.1314893	9.581914
s	1733395821970	261	1.212711	3.179399	9.246547
a	1733395821709	129	1.1312647	3.3614552	9.471723
SP	1733395821580	183	0.7336153	3.409365	9.01179
ż	1733395821397	428	0.8485983	3.4572744	8.939926
u	1733395820969	232	0.5084403	3.5530934	9.926863
j	1733395820737	489	0.8102706	3.4237378	9.375903
SP	1733395820248	185	0.7000786	3.5435116	9.816671
ż	1733395820063	579	0.6904967	3.404574	8.781824
e	1733395819484	113	0.8485983	3.399783	9.136355
j	1733395819371	204	0.81985253	3.0835798	9.51005
n	1733395819167	226	0.95399934	3.2129357	9.687315
w	1733395818941	273	0.6234233	3.2560542	9.289666
ö	1733395818668	582	0.6761238	2.9973426	9.40944
r	1733395818086	225	1.097728	3.1841898	9.596287
SP	1733395817861	314	1.0498185	3.0931616	9.926863
o	1733395817547	73	0.6425871	3.2608452	10.16162
c	1733395817474	232	1.1312647	2.93506	8.527904
SP	1733395817242	144	1.5576599	2.9877605	8.882435
è	1733395817098	531	1.1312647	2.9494328	8.839315
i	1733395816567	293	1.0929371	2.4607553	11.091065
SP	1733395816274	79	1.437886	3.2320995	9.351948
s	1733395816195	158	1.0785642	3.2512631	7.828424
i	1733395816037	213	1.1887562	3.399783	10.056219
m	1733395815824	216	0.9683722	3.6057942	9.740016
SP	1733395815608	270	1.2749934	3.5722573	9.093237
e	1733395815338	95	0.9012988	3.3518734	9.869371
c	1733395815243	287	0.39345735	3.2943819	9.993937
h	1733395814956	219	0.80547965	3.3183367	10.382004
c	1733395814737	381	1.102519	3.1985626	9.323202
SP	1733395814356	187	0.6042595	2.944642	9.596287
e	1733395814169	122	1.3899764	3.1985626	9.174683
i	1733395814047	192	1.2749934	3.2320995	9.898117
n	1733395813855	357	1.1504285	3.2848	9.548377
SP	1733395813498	256	1.4953774	3.490811	10.247857
DEL	1733395813242	699	1.3516488	3.4572744	9.6441965
n	1733395812543	901	0.8485983	3.5291388	9.562751
u	1733395811642	215	0.9444174	3.7686865	9.735225
SP	1733395811427	275	1.437886	4.175918	8.987836
a	1733395811152	133	0.81985253	3.409365	9.902908
g	1733395811019	282	0.8533892	3.4141557	9.663361
u	1733395810737	254	0.9012988	3.4620655	9.620242
ł	1733395810483	956	0.87255305	3.4572744	8.556649
d	1733395809527	1971	-0.13833888	3.7064042	9.131564
SP	1733395807556	350	1.5911967	3.830969	10.008309
o	1733395807206	130	0.91088074	3.3039637	10.449078
x	1733395807076	93	1.1552196	3.4141557	8.30752
DEL	1733395806983	481	1.543287	3.5243478	9.6441965
o	1733395806502	427	1.3947674	3.620167	9.653778
d	1733395806075	325	1.3660216	3.4764383	9.0597
r	1733395805750	502	1.9648913	3.6010032	8.733914
a	1733395805248	159	0.6042595	3.8932514	9.098027
b	1733395805089	269	0.57072276	3.8645058	9.514841
SP	1733395804820	797	0.7000786	4.0082345	9.3998575
t	1733395804023	409	1.2462478	4.175918	9.064491
DEL	1733395803614	215	1.1695924	4.0226073	9.41423
DEL	1733395803399	688	1.322903	3.9124153	9.275293
SP	1733395802711	327	1.1983382	3.960325	8.767451
g	1733395802384	146	1.3133211	3.8788786	9.222592
s	1733395802238	210	1.7205524	3.9794886	8.66205
e	1733395802028	124	1.3133211	4.070517	8.863271
DEL	1733395801904	204	1.5672418	4.08489	8.877644
DEL	1733395801700	346	1.3133211	4.175918	9.016582
e	1733395801354	325	1.1504285	3.9076245	9.1028185
a	1733395801029	113	1.112101	3.9172063	9.10761
j	1733395800916	481	1.102519	3.6632855	9.438186
SP	1733395800435	280	1.7205524	4.0082345	9.222592
ć	1733395800155	470	1.0785642	3.7638958	9.284875
è	1733395799685	632	1.112101	4.262155	8.935135
c	1733395799053	255	1.4474679	3.7926414	7.8667517
h	1733395798798	223	1.1935471	3.7878504	9.735225
c	1733395798575	277	1.3660216	3.4237378	10.017891
SP	1733395798298	431	1.4810046	3.9363701	8.954299
DEL	1733395797867	184	1.552869	3.9172063	9.543587
DEL	1733395797683	495	1.7109705	3.8788786	8.829734
c	1733395797188	422	1.0833552	3.4333196	10.199947
.	1733395796766	229	0.9012988	3.48602	9.390276
e	1733395796537	156	0.7000786	3.5195568	9.385485
i	1733395796381	435	1.2797844	3.0979526	10.003518
