key	press_time	duration	accel_x	accel_y	accel_z
.	1733427245053	337	0.483	3.9180002	8.743951
m	1733427244716	116	0.59805006	3.7390501	8.418
a	1733427244600	213	0.34695002	3.9300003	9.31305
t	1733427244387	179	0.9289501	4.00005	8.643001
e	1733427244208	948	0.83505005	4.07595	8.878051
DEL	1733427243260	734	0.675	4.2510004	8.929951
w	1733427242526	112	0.70905006	4.21995	9.522
i	1733427242414	320	0.54105	3.7860003	9.258
DEL	1733427242094	191	0.768	3.6690001	8.731951
DEL	1733427241903	147	0.46905002	3.90405	8.90205
DEL	1733427241756	163	0.39000002	4.03095	8.832001
DEL	1733427241593	163	0.54300004	3.9420002	8.95695
DEL	1733427241430	338	0.41400003	3.8940003	9.081
m	1733427241092	123	0.27495003	4.026	8.96595
a	1733427240969	183	0.47400004	3.90405	9.208051
t	1733427240786	147	0.88605005	3.89895	8.85795
e	1733427240639	72	0.86895007	3.9589503	8.590051
k	1733427240567	136	0.38805002	3.6840003	8.84895
m	1733427240431	79	0.70395005	3.7669501	9.02805
a	1733427240352	100	0.282	3.6139503	9.74205
p	1733427240252	718	0.44505003	3.6979501	8.67195
SP	1733427239534	72	0.57900006	3.9589503	9.13095
e	1733427239462	193	0.41895002	3.9420002	9.28905
c	1733427239269	88	0.43800002	3.9900002	8.52105
i	1733427239181	86	-0.064050004	4.1119504	8.83395
z	1733427239095	171	0.80205005	4.1119504	8.11905
d	1733427238924	130	0.65805006	4.0090504	8.65995
o	1733427238794	193	0.79005	4.0230002	8.644951
r	1733427238601	256	0.54795	4.2649503	9.02805
u	1733427238345	178	0.72300005	4.644	8.80305
g	1733427238167	162	1.0819501	4.0950003	8.545051
o	1733427238005	146	0.0019500001	3.8179502	8.878051
b	1733427237859	1191	0.62505	3.798	9.07905
SP	1733427236668	199	0.61005	3.8539503	9.031051
m	1733427236469	143	0.51195	3.8179502	8.632951
a	1733427236326	212	0.74700004	3.9799502	8.98305
t	1733427236114	821	0.92205006	3.8730001	8.602051
SP	1733427235293	139	0.46395	3.765	9.423
s	1733427235154	88	0.46395	3.5689502	8.719951
o	1733427235066	132	0.591	4.0620003	9.309
c	1733427234934	122	0.69195	3.9130502	8.47995
SP	1733427234812	141	0.41595003	3.8029501	9.438001
e	1733427234671	203	0.34695002	3.89895	9.724951
z	1733427234468	178	0.79695004	3.7840502	8.55405
c	1733427234290	180	0.62505	3.5490003	8.940001
z	1733427234110	187	0.48105	3.6880503	9.603001
DEL	1733427233923	184	0.41595003	3.8539503	8.86305
DEL	1733427233739	151	0.38505003	3.8460002	8.911051
DEL	1733427233588	179	0.30405003	3.9559503	9.11205
DEL	1733427233409	286	0.32295	4.0069504	8.866051
e	1733427233123	184	0.64605004	3.9130502	8.844001
z	1733427232939	147	0.23700002	3.9490502	9.427951
