key	press_time	duration	accel_x	accel_y	accel_z
l	1733570883284	149	-3.62295	7.04505	-5.7390003
l	1733570883135	222	-3.6469502	7.083	-6.012
i	1733570882913	144	-3.69705	6.9589505	-6.0319505
w	1733570882769	137	-3.62595	6.9900002	-6.2299504
SP	1733570882632	301	-3.417	6.9919505	-5.7990003
e	1733570882331	725	-3.7519503	7.0069504	-5.74695
DEL	1733570881606	200	-3.6709502	7.1449504	-5.8950005
DEL	1733570881406	121	-3.6349502	7.1650505	-5.7109504
DEL	1733570881285	147	-3.7519503	7.0090504	-5.8570504
DEL	1733570881138	181	-3.7189503	7.05	-5.979
DEL	1733570880957	521	-3.65895	6.9559503	-6.0199504
l	1733570880436	195	-3.6330001	7.01595	-5.8570504
l	1733570880241	270	-3.52305	6.8580003	-6.249
i	1733570879971	95	-3.38895	7.0279503	-6.02895
w	1733570879876	172	-3.2640002	7.00395	-6.024
SP	1733570879704	110	-3.0889502	6.9660006	-6.1270504
e	1733570879594	454	-3.3310502	6.9750004	-6.0700502
r	1733570879140	258	-3.3769503	7.0540504	-5.6940002
f	1733570878882	551	-3.5269501	7.1050506	-5.60295
SP	1733570878331	134	-3.4960501	7.01595	-5.9380503
f	1733570878197	120	-3.9199502	7.1140504	-5.0400004
o	1733570878077	3220	-3.1950002	7.1959505	-5.50005
SP	1733570874857	79	-3.4939501	7.1959505	-5.4739504
t	1733570874778	288	-3.726	6.9799504	-5.7780004
c	1733570874490	316	-3.5830503	7.0740004	-5.3560505
a	1733570874174	493	-3.5470502	7.1929502	-5.5810504
SP	1733570873681	250	-3.1680002	7.1070004	-5.8710003
t	1733570873431	79	-2.943	6.8770504	-5.7630005
s	1733570873352	240	-2.66295	7.1020503	-6.4099503
a	1733570873112	151	-3.384	7.39905	-5.742
l	1733570872961	344	-3.39105	7.1070004	-6.37095
SP	1733570872617	133	-3.3670502	7.25295	-5.48295
y	1733570872484	138	-3.6730502	7.3819504	-5.2510505
m	1733570872346	227	-3.5370002	7.3350005	-5.6719503
SP	1733570872119	66	-3.5320501	7.2910504	-5.4550505
s	1733570872053	155	-3.5010002	7.4470506	-5.5620003
i	1733570871898	1426	-3.2740502	7.1070004	-5.8060503
SP	1733570870472	132	-3.62595	7.3729506	-5.73705
t	1733570870340	258	-3.8410501	7.3300505	-5.103
I	1733570870082	873	-3.525	7.3609505	-5.4640503
DEL	1733570869209	1118	-3.58695	7.39905	-5.4949503
t	1733570868091	664	-3.4390502	7.38705	-5.61705
NL	1733570867427	2816	-3.7549503	7.3699503	-5.5219502
g	1733570864611	127	-3.7240503	7.0309505	-5.39895
n	1733570864484	271	-3.7240503	6.978	-5.89305
i	1733570864213	93	-3.966	7.038	-6.10305
h	1733570864120	284	-3.9130502	7.0350003	-5.30595
t	1733570863836	200	-4.083	7.0350003	-5.77995
o	1733570863636	233	-3.7519503	7.215	-5.6800504
DEL	1733570863403	697	-3.6520503	7.1790004	-5.8110003
DEL	1733570862706	172	-3.89895	7.3780503	-5.30805
DEL	1733570862534	209	-4.0009503	7.2240005	-5.775
DEL	1733570862325	165	-3.9270003	7.2910504	-5.2060504
DEL	1733570862160	369	-4.2070503	7.1599503	-4.87995
DEL	1733570861791	1753	-3.9799502	7.0090504	-5.919
g	1733570860038	109	-3.89595	7.24095	-5.3970003
n	1733570859929	162	-3.4650002	6.9160504	-6.38595
i	1733570859767	105	-3.6660001	7.1380506	-4.9230003
h	1733570859662	267	-3.7240503	7.0639505	-5.85195
t	1733570859395	100	-3.9220502	7.1650505	-5.20095
i	1733570859295	238	-3.7999501	7.11	-5.57205
n	1733570859057	233	-3.5730002	7.011	-5.7250504
SP	1733570858824	333	-3.4939501	7.0279503	-5.9050503
y	1733570858491	297	-3.1369503	7.09005	-5.63205
l	1733570858194	51	-3.73095	7.2679505	-5.2249503
e	1733570858143	260	-3.89895	7.21995	-5.103
t	1733570857883	184	-3.7120502	7.2319503	-5.73705
u	1733570857699	280	-3.5850003	7.0090504	-5.3179502
l	1733570857419	659	-3.9940503	7.18095	-5.33505
o	1733570856760	129	-3.7210503	7.1740503	-5.61705
s	1733570856631	394	-3.7879503	7.2390003	-5.20305
b	1733570856237	81	-3.2659502	7.0999503	-5.79195
a	1733570856156	274	-3.31905	7.0860004	-5.4550505
SP	1733570855882	282	-3.384	6.669	-7.071
h	1733570855600	118	-3.52005	6.91095	-5.4810004
t	1733570855482	198	-3.55605	7.00395	-6.0030003
i	1733570855284	94	-3.6060002	7.0470004	-5.94495
w	1733570855190	738	-3.5389502	7.25295	-5.99805
SP	1733570854452	99	-3.86505	6.9589505	-5.44995
t	1733570854353	233	-4.03695	6.9799504	-5.47095
f	1733570854120	275	-3.9300003	7.04505	-5.54295
e	1733570853845	82	-3.8910003	6.91095	-6.1849504
l	1733570853763	308	-3.6690001	7.0140004	-6.1729503
SP	1733570853455	92	-3.5710502	7.0189505	-5.361
e	1733570853363	150	-3.5130002	7.1070004	-6.111
b	1733570853213	189	-3.5970001	7.0420504	-5.92605
SP	1733570853024	326	-3.7600503	6.9229503	-5.9500504
l	1733570852698	167	-3.8790002	7.1190004	-5.6839504
l	1733570852531	188	-3.7210503	6.9900002	-5.9430003
i	1733570852343	150	-3.7020001	7.24095	-6.2730002
w	1733570852193	201	-3.8820002	7.0519505	-4.6090503
SP	1733570851992	107	-3.32205	7.21005	-5.8380003
e	1733570851885	169	-3.6160502	7.22205	-5.859
w	1733570851716	165	-3.4990501	7.2769504	-5.6650505
SP	1733570851551	99	-3.4680002	7.18905	-5.99805
d	1733570851452	168	-3.31395	6.9040504	-4.866
n	1733570851284	122	-3.2070003	7.2990003	-5.3869505
a	1733570851162	3195	-3.4800003	7.287	-5.52405
SP	1733570847967	109	-3.6090002	7.1359506	-5.60505
e	1733570847858	135	-3.7069502	7.07595	-5.1480002
n	1733570847723	199	-3.492	7.0519505	-5.7300005
o	1733570847524	97	-3.6540003	7.0189505	-5.68905
g	1733570847427	668	-3.7020001	7.1260505	-5.6410503
SP	1733570846759	98	-3.2329502	7.0810504	-6.22095
e	1733570846661	118	-3.4819503	7.1329503	-5.49795
b	1733570846543	446	-3.5970001	7.3009505	-6.54405
SP	1733570846097	1136	-3.59205	7.359	-5.445
l	1733570844961	154	-3.6810002	7.2750006	-5.7390003
l	1733570844807	212	-3.6810002	7.21995	-5.6719503
i	1733570844595	96	-3.5629501	7.11	-6.1150503
w	1733570844499	1685	-3.5149503	7.18095	-5.7630005
SP	1733570842814	100	-3.4990501	7.1359506	-5.7300005
s	1733570842714	255	-3.7690501	7.2750006	-5.3419504
e	1733570842459	178	-3.6090002	7.2700505	-5.184
i	1733570842281	99	-3.8220003	7.1959505	-5.42805
t	1733570842182	272	-3.7930503	7.1980505	-5.61705
i	1733570841910	112	-3.6660001	7.3300505	-5.4210005
d	1733570841798	166	-3.7570503	7.32705	-5.4550505
o	1733570841632	239	-3.6760502	7.2700505	-5.8759503
m	1733570841393	142	-3.82695	7.1790004	-5.3710504
m	1733570841251	230	-3.7090502	7.2120004	-5.43795
o	1733570841021	84	-3.7740002	7.3680005	-5.268
c	1733570840937	415	-3.9250503	7.1670003	-5.77995
SP	1733570840522	202	-3.5749502	7.1980505	-5.5930505
s	1733570840320	114	-3.5989501	7.2769504	-5.445
u	1733570840206	185	-3.38895	7.0860004	-5.7109504
o	1733570840021	201	-3.9130502	7.2240005	-5.3970003
DEL	1733570839820	514	-3.7810502	7.1620502	-5.75895
u	1733570839306	166	-3.46005	7.4059505	-5.5260005
i	1733570839140	646	-3.7380002	7.359	-5.4550505
DEL	1733570838494	153	-3.8940003	7.3300505	-5.3110504
DEL	1733570838341	136	-3.97305	7.21005	-5.33505
DEL	1733570838205	183	-4.0090504	7.3320003	-5.289
DEL	1733570838022	174	-3.93705	7.2840004	-5.38005
DEL	1733570837848	535	-4.10895	7.3350005	-5.0280004
SP	1733570837313	200	-3.7069502	7.3230004	-5.3869505
s	1733570837113	122	-3.999	7.3609505	-5.5810504
o	1733570836991	243	-3.7069502	7.28205	-6.2400002
i	1733570836748	191	-3.7549503	7.0470004	-5.622
o	1733570836557	108	-3.7860003	7.1260505	-5.2870502
c	1733570836449	300	-3.9820502	7.011	-5.5860004
e	1733570836149	183	-3.8220003	7.2460504	-5.47095
r	1733570835966	159	-4.18095	6.8920503	-5.8110003
p	1733570835807	556	-4.227	7.07595	-5.1790504
SP	1733570835251	97	-3.6379502	7.05	-5.77995
r	1733570835154	191	-3.7140002	7.0309505	-5.5600505
u	1733570834963	226	-3.6420002	7.28205	-5.8060503
o	1733570834737	772	-3.7120502	7.41795	-5.11695
SP	1733570833965	148	-3.6829503	7.3390503	-5.42805
f	1733570833817	150	-3.7840502	7.38705	-5.11905
o	1733570833667	360	-3.7570503	7.2390003	-5.6599503
SP	1733570833307	232	-3.7170002	7.3030505	-5.6200504
l	1733570833075	172	-4.3320003	7.0690503	-5.1000004
l	1733570832903	92	-4.00395	7.4610004	-5.74695
a	1733570832811	624	-3.9490502	7.3560004	-4.81995
SP	1733570832187	109	-3.6520503	7.4710503	-5.3200502
d	1733570832078	217	-3.657	7.359	-5.42595
n	1733570831861	166	-3.4360502	7.3729506	-5.51205
a	1733570831695	648	-3.594	7.5070505	-5.34705
SP	1733570831047	5152	-3.6160502	7.39905	-5.3560505
l	1733570825895	162	-3.8100002	7.4689503	-5.3160005
l	1733570825733	962	-3.8820002	7.4779506	-5.45895
i	1733570824771	155	-3.5110502	7.3560004	-5.682
w	1733570824616	2352	-3.4770002	7.3300505	-5.7850504
SP	1733570822264	1068	-3.3600001	7.31505	-5.7300005
r	1733570821196	182	-3.6379502	7.2439504	-5.50995
i	1733570821014	122	-3.4750502	7.359	-6.0079503
e	1733570820892	211	-3.63	7.2580504	-5.385
h	1733570820681	117	-3.51795	7.4539504	-5.74905
t	1733570820564	154	-3.5629501	7.2439504	-5.5530005
SP	1733570820410	227	-3.5080502	7.2340503	-5.5480504
o	1733570820183	170	-3.7480502	7.5070505	-4.83195
DEL	1733570820013	446	-4.01805	7.2700505	-5.6460004
h	1733570819567	131	-3.42	7.2390003	-6.0000005
t	1733570819436	503	-3.4410002	7.0980005	-5.8780503
SP	1733570818933	96	-3.4360502	7.4830503	-5.5860004
d	1733570818837	167	-3.6180003	7.3750505	-5.4949503
n	1733570818670	216	-3.3259501	7.3699503	-5.44995
u	1733570818454	204	-3.4150503	7.41795	-6.54405
o	1733570818250	333	-3.5269501	7.42995	-5.21295
b	1733570817917	560	-3.288	7.39905	-5.14095
SP	1733570817357	99	-3.4009502	7.4380503	-5.1460505
e	1733570817258	116	-3.6210003	7.42995	-5.4739504
b	1733570817142	5091	-3.357	7.7100005	-5.4570003
SP	1733570812051	279	-3.59205	7.56405	-4.9680004
o	1733570811772	80	-3.5149503	7.4020505	-5.17005
t	1733570811692	905	-3.6420002	7.25295	-5.6800504
SP	1733570810787	94	-3.5830503	7.51695	-5.50995
e	1733570810693	134	-3.7669501	7.392	-5.1120005
n	1733570810559	237	-3.5080502	7.4449506	-5.4810004
o	1733570810322	93	-3.4699502	7.3900504	-5.4430504
d	1733570810229	683	-3.4650002	7.3660502	-6.0700502
SP	1733570809546	282	-3.1369503	7.3030505	-5.6940002
y	1733570809264	266	-3.0990002	7.1599503	-5.9550004
l	1733570808998	82	-3.6180003	7.4830503	-5.58405
e	1733570808916	235	-3.7669501	7.452	-4.767
t	1733570808681	232	-3.8749502	7.4089503	-5.7319503
u	1733570808449	213	-3.6210003	7.6530004	-5.241
l	1733570808236	1089	-3.8220003	7.7560506	-5.2870502
o	1733570807147	211	-3.693	7.4470506	-5.229
s	1733570806936	735	-3.7429502	7.5840006	-5.1529503
b	1733570806201	643	-3.3790503	7.5840006	-5.0500503
a	1733570805558	566	-3.9490502	7.6819506	-4.497
SP	1733570804992	233	-3.8050501	7.5379505	-5.1049504
e	1733570804759	232	-3.9900002	7.359	-4.6639504
r	1733570804527	488	-4.0420504	7.3819504	-4.73595
a	1733570804039	1196	-4.1280003	7.761	-4.13805
SP	1733570802843	128	-3.9460502	7.5760503	-4.368
e	1733570802715	101	-4.0950003	7.8349504	-3.62295
DEL	1733570802614	929	-4.1119504	7.85895	-4.6399503
r	1733570801685	215	-3.93705	7.56195	-5.11005
w	1733570801470	3845	-3.9060001	7.689	-4.1020503
SP	1733570797625	268	-3.08505	7.971	-5.03595
u	1733570797357	173	-3.5389502	7.8090005	-5.20305
DEL	1733570797184	735	-3.42	7.9069505	-4.57305
y	1733570796449	125	-3.4819503	7.82805	-4.8250504
o	1733570796324	259	-3.38895	7.833	-4.5259504
y	1733570796321	256	-3.38895	7.833	-4.5259504
DEL	1733570796065	735	-3.4410002	7.93305	-4.95405
DEL	1733570795330	134	-3.3790503	7.8420005	-4.8030005
DEL	1733570795196	190	-3.45795	7.8610506	-4.947
DEL	1733570795006	291	-3.417	7.9549503	-4.5880504
y	1733570794715	165	-3.39105	7.7869506	-4.8850503
o	1733570794550	113	-3.3019502	8.06505	-4.3699503
y	1733570794437	248	-3.3979502	7.8900003	-4.5420003
DEL	1733570794189	148	-3.3360002	7.9810505	-4.62405
DEL	1733570794041	155	-3.42	7.7730002	-4.971
DEL	1733570793886	219	-3.3120003	8.014951	-4.55205
y	1733570793667	215	-3.59205	7.8919506	-4.65
o	1733570793452	100	-3.3259501	8.029051	-4.9729505
y	1733570793352	182	-3.45795	7.9879503	-4.6090503
DEL	1733570793170	175	-3.31905	7.76805	-5.0329504
DEL	1733570792995	984	-3.2640002	7.7820005	-5.39895
y	1733570792011	166	-3.108	7.7299504	-5.8230004
o	1733570791845	81	-3.2740502	7.8349504	-4.7530503
t	1733570791764	634	-3.4990501	7.7419505	-5.09805
SP	1733570791130	88	-3.1009502	7.8799505	-5.73705
g	1733570791042	127	-3.1920002	7.9260006	-4.9009504
n	1733570790915	217	-3.1560001	7.8949504	-4.49895
i	1733570790698	66	-3.1729503	8.055	-4.71495
d	1733570790632	167	-3.0010502	8.007	-5.124
d	1733570790465	432	-3.21105	8.05305	-4.2120004
i	1733570790033	216	-3.18705	7.9519506	-4.72905
k	1733570789817	550	-3.20895	8.019	-4.3890004
SP	1733570789267	136	-3.31695	8.13405	-3.9919503
t	1733570789131	151	-3.42705	8.091001	-4.5610504
DEL	1733570788980	159	-3.6210003	7.9210505	-4.992
DEL	1733570788821	488	-3.55095	7.9740005	-4.55205
SP	1733570788333	400	-3.4050002	7.9279504	-4.7190003
r	1733570787933	107	-3.1009502	8.292001	-3.8430002
o	1733570787826	136	-3.45795	8.2560005	-4.8700504
DEL	1733570787690	153	-3.52305	8.12205	-4.38705
DEL	1733570787537	768	-3.7519503	8.139	-3.9820502
r	1733570786769	93	-3.0340502	8.806951	-2.7919502
i	1733570786676	216	-2.94105	8.62695	-3.5970001
DEL	1733570786460	152	-2.9839501	8.68995	-3.28305
DEL	1733570786308	664	-2.292	8.838	-3.15105
t	1733570785644	181	-0.786	9.916051	0.59205
i	1733570785463	266	-0.882	9.721951	0.67605
n	1733570785197	222	-0.94200003	9.84405	0.91800004
SP	1733570784975	198	-1.1719501	9.910951	0.73095006
m	1733570784777	77	-0.70500004	9.561001	0.87000006
a	1733570784700	190	-0.96300006	9.757951	0.38595003
SP	1733570784510	259	-1.2030001	9.646951	0.93000007
I	1733570784251	6396	-0.94395006	9.637951	1.27695
SP	1733570777855	398	-0.94395006	9.901051	0.75495005
y	1733570777457	243	-0.77400005	9.946951	0.70500004
l	1733570777214	106	-0.92505	9.975	0.63495004
s	1733570777108	166	-0.89400005	9.753	1.0639501
u	1733570776942	217	-0.81000006	9.68595	1.06605
o	1733570776725	265	-1.0210501	9.717	0.88005006
i	1733570776460	300	-0.84105	9.670951	0.85605
r	1733570776160	332	-1.15695	9.69495	1.21695
e	1733570775828	236	-1.0540501	9.658951	1.5480001
S	1733570775592	1124	-0.90795004	9.63105	2.3110502
NL	1733570774468	1454	-0.55095005	9.424951	2.29905
m	1733570773014	71	-0.91095006	9.748051	0.05595
e	1733570772943	182	-0.82695	9.870001	0.06105
h	1733570772761	67	-1.04205	9.7890005	0.44895002
t	1733570772694	988	-0.87495005	10.026	-0.40800002
SP	1733570771706	100	-0.80805004	9.837001	-0.657
e	1733570771606	160	-1.04505	9.85305	0.88005006
v	1733570771446	133	-1.4950501	9.81	0.59205
r	1733570771313	256	-0.21900001	9.82695	-0.87705004
e	1733570771057	243	-0.76695	9.898951	0.15705001
s	1733570770814	371	-0.92700005	9.82905	0.504
SP	1733570770443	251	-0.89595	9.84405	0.46995002
o	1733570770192	115	-0.44805002	9.71205	0.17295001
t	1733570770077	444	-0.81195	9.834001	0.46305
SP	1733570769633	121	-1.023	9.805051	1.38705
d	1733570769512	250	-0.93195003	9.786	0.97095007
e	1733570769262	115	-0.92505	9.798	1.2049501
m	1733570769147	212	-0.67095006	9.81	0.25500003
o	1733570768935	182	-0.882	9.766951	0.73395
o	1733570768753	105	-0.55095005	9.846001	0.42705002
d	1733570768648	283	-0.88395005	9.772051	0.91305006
SP	1733570768365	244	-1.06605	9.762	1.31805
l	1733570768121	166	-0.86505	9.693001	0.62295
l	1733570767955	199	-1.2910501	9.73095	1.1020501
a	1733570767756	347	-0.87900007	9.781051	1.31505
SP	1733570767409	85	-1.0489501	9.690001	1.521
e	1733570767324	222	-1.131	9.721951	0.37905002
r	1733570767102	342	-1.04205	9.714001	0.94695
a	1733570766760	507	-0.56805	9.781051	0.33600003
SP	1733570766253	133	-0.69495004	9.8220005	0.94200003
e	1733570766120	210	-0.87195003	9.741	0.50100005
w	1733570765910	238	-0.94395006	9.784051	1.3440001
SP	1733570765672	130	-0.93900007	9.70995	0.78405005
d	1733570765542	229	-0.85995007	9.79605	0.504
m	1733570765313	124	-0.38895002	9.8560505	0.58305
a	1733570765189	413	-0.87495005	9.8560505	1.0330501
SP	1733570764776	744	-0.78405005	9.74295	0.88005006
y	1733570764032	97	-0.96300006	9.87705	0.58005005
c	1733570763935	368	-0.72900003	9.781051	-0.46995002
a	1733570763567	216	-0.75000006	9.71895	-0.11805001
r	1733570763351	98	-0.786	9.975	1.4760001
i	1733570763253	201	-0.68100005	10.01595	0.35505003
p	1733570763052	216	-0.49605003	9.537001	0.83895004
s	1733570762836	223	-1.02795	9.801001	1.23405
n	1733570762613	220	-0.99405	9.847951	0.60705
o	1733570762393	87	-0.35805002	9.772051	1.011
c	1733570762306	765	-0.79305005	9.745951	0.09195001
SP	1733570761541	335	-0.55395	9.83895	0.075
h	1733570761206	72	-0.79995006	9.918	0.58695
s	1733570761134	182	-0.65895003	9.729	0.39105
i	1733570760952	128	-0.48705003	9.741	0.91305006
w	1733570760824	182	-0.61605	9.80805	-0.47505003
e	1733570760642	235	-0.73800004	9.9199505	1.35405
J	1733570760407	1561	-0.78105	9.637951	1.15995
SP	1733570758846	97	-0.70500004	9.990001	0.64695
a	1733570758749	441	-0.573	9.70005	0.61605
SP	1733570758308	99	-0.90300006	9.813001	1.0350001
s	1733570758209	160	-0.71895003	9.90795	1.1689501
i	1733570758049	564	-0.44805002	9.576	1.07595
SP	1733570757485	246	-0.13695	9.951	2.0670002
DEL	1733570757239	890	-0.70005006	9.765	2.8570502
n	1733570756349	94	-0.537	9.86505	0.67605
s	1733570756255	234	-0.98205006	9.757951	1.179
i	1733570756021	222	-0.84795004	9.84105	0.42705002
h	1733570755799	60	-0.41505003	10.083	0.633
t	1733570755739	221	-0.67095006	9.67605	-0.64005005
SP	1733570755518	93	-0.92700005	9.837001	0.58695
f	1733570755425	184	-1.21695	9.65505	1.45395
o	1733570755241	565	-0.85605	9.87195	1.1209501
SP	1733570754676	301	-0.35505003	9.69495	0.28305
l	1733570754375	168	-0.89400005	9.73095	1.60695
l	1733570754207	89	-0.47505003	9.67605	1.45905
a	1733570754118	1194	-0.882	9.66705	1.179
SP	1733570752924	248	-1.55505	7.5360003	-6.2520003
t	1733570752676	378	-1.8250501	7.7370005	-6.08895
DEL	1733570752298	630	-2.4859502	8.034	-5.3299503
DEL	1733570751668	183	-2.7109501	7.8250504	-5.5069504
DEL	1733570751485	149	-2.6130002	8.158051	-5.4310503
DEL	1733570751336	149	-2.5240502	8.047951	-5.4880505
DEL	1733570751187	173	-2.3089502	7.8160505	-5.4690003
l	1733570751014	532	-3.01005	7.9020004	-5.21505
SP	1733570750482	250	-1.55505	7.4419503	-6.3520503
t	1733570750232	242	-2.60805	8.149051	-4.806
DEL	1733570749990	105	-2.08905	7.9860005	-5.6959505
l	1733570749885	760	-2.5410001	7.7299504	-6.1990504
SP	1733570749125	289	-1.93305	7.5790505	-5.73705
y	1733570748836	210	-1.2550501	7.7539506	-6.6109505
a	1733570748626	202	-1.4610001	7.7179503	-5.6650505
h	1733570748424	179	-0.88395005	7.6429505	-6.18195
t	1733570748245	317	-1.5949501	7.63605	-5.47095
SP	1733570747928	288	-1.9620001	7.3729506	-6.3520503
u	1733570747640	195	-1.7629501	8.007	-4.98
o	1733570747445	282	-1.9210501	7.5379505	-6.096
y	1733570747163	355	-1.8900001	7.62405	-6.0649505
SP	1733570746808	233	-1.9069501	7.54995	-6.0720005
l	1733570746575	160	-2.0770502	7.5090003	-6.3570004
l	1733570746415	404	-2.2150502	7.1910005	-6.9150004
e	1733570746011	177	-2.637	7.9360504	-5.9020505
t	1733570745834	239	-0.77400005	7.5600004	-5.97195
SP	1733570745595	182	-1.6099501	7.3300505	-6.4120502
o	1733570745413	284	-1.3729501	7.4470506	-5.45205
t	1733570745129	259	-1.7839501	7.4779506	-5.65605
SP	1733570744870	212	-0.82905006	7.3969502	-6.25395
s	1733570744658	569	-2.4430501	7.52895	-6.1249504
DEL	1733570744089	216	-2.3779502	7.87305	-5.27295
DEL	1733570743873	169	-2.19105	7.76805	-5.67
DEL	1733570743704	680	-2.1319501	7.6429505	-5.964
t	1733570743024	238	-2.90505	7.9140005	-6.405
SP	1733570742786	217	-1.27695	7.4659505	-6.66405
z	1733570742569	216	-2.3850002	7.7130003	-4.54005
i	1733570742353	199	-0.76005006	7.38705	-6.5200505
h	1733570742154	177	-1.52295	7.93305	-5.8450503
t	1733570741977	520	-2.49105	7.7890506	-6.1080003
SP	1733570741457	217	-1.8559501	7.5400505	-6.0409503
g	1733570741240	149	-2.31795	8.10795	-5.6800504
n	1733570741091	183	-1.42305	7.7080503	-6.3480005
i	1733570740908	250	-1.69305	7.54995	-5.859
t	1733570740658	216	-1.983	7.6720505	-5.24595
i	1733570740442	349	-1.4280001	7.8180003	-5.466
r	1733570740093	265	-2.08605	7.7389503	-5.53095
w	1733570739828	311	-2.4400501	8.062051	-6.5869503
SP	1733570739517	171	-1.9930501	7.8130503	-5.85195
m	1733570739346	344	-1.74405	7.8229504	-5.598
a	1733570739002	272	-2.6460001	8.434051	-5.5600505
SP	1733570738730	155	-1.55505	7.8829503	-5.7510004
I	1733570738575	4200	-2.3730001	8.019	-6.29505
SP	1733570734375	199	-1.2889501	7.9210505	-6.2920504
,	1733570734176	1251	-1.8180001	8.3880005	-4.4820004
i	1733570732925	167	-1.6360501	7.9519506	-4.7959504
H	1733570732758	17088	-1.5949501	7.9140005	-5.4690003
