key	press_time	duration	accel_x	accel_y	accel_z
y	1733593275763	317	-1.4156537	4.7859445	8.488539
z	1733593275446	305	-0.2533401	4.8505507	8.518449
c	1733593275141	1331	-2.385345	5.7556357	9.461819
a	1733593273810	490	-0.41874397	5.1846485	8.443074
b	1733593273320	1420	-1.410868	5.532804	9.292826
o	1733593271900	302	-0.68195444	4.6543393	9.152845
z	1733593271598	1091	0.4636094	4.599304	8.577073
SP	1733593270507	312	-0.6556334	4.5861435	8.683554
a	1733593270195	383	-0.573081	4.6340003	9.071489
n	1733593269812	815	-1.5296118	4.9677987	9.528818
ż	1733593268997	1585	-0.11934203	4.3728833	8.556734
o	1733593267412	354	-1.6959131	4.672285	8.7015
m	1733593267058	1173	-0.5300102	4.4662037	9.620942
SP	1733593265885	524	-0.51086766	5.0419765	9.235398
e	1733593265361	464	-0.3047858	5.206184	8.3377905
i	1733593264897	374	-1.7904296	4.8158545	9.564711
z	1733593264523	361	-0.6305088	4.80748	8.560323
d	1733593264162	568	-2.8905299	5.662316	8.69791
ę	1733593263594	1589	0.19890338	5.445466	8.334201
b	1733593262005	503	-1.4709877	4.601697	8.575876
SP	1733593261502	672	-1.1560324	5.267201	9.22822
i	1733593260830	291	-1.7856439	4.595715	8.725428
k	1733593260539	685	-0.7585248	5.206184	8.88126
z	1733593259854	439	-2.1807587	5.4610195	7.858927
a	1733593259415	375	-1.5343975	5.4430733	8.402397
r	1733593259040	551	-2.5301108	5.009673	8.012068
b	1733593258489	605	-1.3522439	5.016852	9.201899
o	1733593257884	2942	-1.067498	4.5323052	9.060722
SP	1733593254942	1534	-0.23060828	4.4674	8.571091
e	1733593253408	849	0.5162515	4.866104	8.517252
i	1733593252559	324	-1.655235	4.9319067	9.6580305
k	1733593252235	413	-0.5778667	4.729713	9.391231
a	1733593251822	356	0.16301104	3.667898	9.081061
t	1733593251466	793	-2.120938	5.0901318	8.41795
SP	1733593250673	581	-0.1468595	4.8469615	8.575876
e	1733593250092	470	0.62751776	5.38086	8.682357
n	1733593249622	528	-0.19950159	4.4817567	8.525627
p	1733593249094	1027	-0.33110684	4.9438705	8.894421
ę	1733593248067	1456	0.08883354	5.6611195	7.893623
t	1733593246611	301	-2.2525434	6.177969	8.575876
s	1733593246310	347	0.79890364	5.191827	8.049156
a	1733593245963	351	0.03619144	5.094918	8.519645
N	1733593245612	2858	-1.5607185	4.642375	9.742975
SP	1733593242754	1698	-1.2517453	3.7564325	8.57468
.	1733593241056	582	-0.8757731	3.670291	9.207881
a	1733593240474	328	-0.61016977	4.571787	8.279166
c	1733593240146	692	-1.9172492	5.3102717	8.982955
ń	1733593239454	1229	-1.9938195	4.866104	8.033603
o	1733593238225	255	-0.92512506	4.8589253	8.862118
k	1733593237970	464	-1.378565	4.83739	9.009276
SP	1733593237506	442	-1.0040882	4.9510493	9.780065
o	1733593237064	302	-0.015254244	5.28754	7.3417783
d	1733593236762	1070	0.91495556	5.0793643	8.315059
SP	1733593235692	2897	-0.98016	4.168297	9.009276
a	1733593232795	349	-0.8446664	4.5323052	8.536395
b	1733593232446	721	-1.8658035	4.949853	9.727423
y	1733593231725	656	-1.9770697	4.753641	8.323434
h	1733593231069	713	-0.5407779	4.199404	8.538788
c	1733593230356	1062	-1.5774683	4.79073	8.955438
SP	1733593229294	1057	-0.2114657	4.5909295	8.706285
o	1733593228237	309	-2.0922244	4.1467614	10.4683
l	1733593227928	494	-1.398904	4.3202415	9.711869
z	1733593227434	279	-0.7920243	3.8006997	8.874082
s	1733593227155	441	-3.042474	4.6555357	8.782856
y	1733593226714	298	-0.7537391	4.5035915	7.663613
w	1733593226416	1505	0.36430725	4.982156	8.419147
SP	1733593224911	338	-0.08703893	4.7009993	9.98136
e	1733593224573	569	0.47318068	4.525127	8.257332
i	1733593224004	364	-1.0375878	4.098905	8.2609215
n	1733593223640	412	-1.3199408	4.758427	9.207881
a	1733593223228	276	0.12352947	4.8361936	8.691928
s	1733593222952	807	-2.088635	4.665107	8.259725
i	1733593222145	442	-1.5954145	4.371687	9.72144
p	1733593221703	1133	-0.51086766	3.7636108	8.702696
SP	1733593220570	370	-0.7501499	4.328616	9.326325
.	1733593220200	504	-0.73459655	3.6248271	8.883654
a	1733593219696	384	0.16660027	4.430311	8.677571
b	1733593219312	716	-1.2613167	4.4817567	9.480962
e	1733593218596	264	-2.3219352	5.361717	8.455039
z	1733593218332	550	-1.2134602	4.9079785	8.537591
r	1733593217782	412	-2.8845477	4.8565326	8.835796
t	1733593217370	1478	-2.6811578	4.6579285	9.21147
SP	1733593215892	367	-1.0914263	3.868895	8.9877405
k	1733593215525	479	-0.9610174	4.0677986	8.896813
a	1733593215046	310	0.17856438	4.7368917	8.705089
t	1733593214736	460	-3.0388846	5.2755756	8.76132
SP	1733593214276	486	-0.37567315	4.1312084	8.815159
o	1733593213790	425	-1.3342978	4.7213383	9.709476
b	1733593213365	2236	-1.0746765	4.8290153	8.8681
SP	1733593211129	530	-1.067498	4.80748	9.041579
y	1733593210599	388	-2.2788644	5.118846	8.30788
m	1733593210211	619	-0.27008986	4.6208396	8.389236
e	1733593209592	340	0.360718	5.456234	8.062317
j	1733593209252	506	-1.7126628	4.9869413	9.020044
u	1733593208746	379	-1.3773686	5.085346	8.257332
t	1733593208367	357	-2.0958135	5.6503515	8.962616
s	1733593208010	491	0.8682955	6.026025	8.160422
e	1733593207519	543	-2.6249263	5.132006	8.2346
T	1733593206976	1987	-1.6743777	5.0685964	8.349754
SP	1733593204989	483	-0.567099	4.5478587	8.666803
.	1733593204506	592	-1.0459626	4.538287	9.290433
k	1733593203914	278	-0.85184485	4.996513	9.546764
O	1733593203636	0	-1.3031911	5.0997033	8.752945
a	1733593164640	233	-1.1703894	3.9155552	8.763713
d	1733593164407	847	-2.6739793	3.8174493	7.943872
e	1733593163560	685	0.25782663	4.35733	9.358628
